Column1,Accuracy,Precision,Recall,F1 Score,ROC Auc,
Light GBM,0.727917981,0.747471555,0.682835282,0.713692946,0.798884739,
Gradient Boosting,0.729280184,0.746518542,0.68875415,0.716473945,0.795672326,
Logistic Regression,0.727487812,0.708455588,0.766854338,0.736499133,0.795591859,
SVM Model,0.729280184,0.743621463,0.694239931,0.718082724,0.794148921,
XGBoost_CLF,0.732721537,0.758944471,0.676772051,0.715506716,0.792539075,
Random Forest Model,0.718956123,0.725243446,0.698859535,0.711807087,0.775852607,
KNN Classifier,0.715299685,0.711384439,0.718059766,0.714706516,0.760109317,
,,,,,,
,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7
Gradient Boosting,2,3,5,3,2,15
Logistic Regression,5,7,1,1,3,17
XGBoost_CLF,1,1,7,4,5,18
,,,,,,
